"qty_biological_replicates","proportion_of_DEGs","qty_total_genes","qty_genes_expressed_in_all_samples","qty_not_expressed_genes","qty_genes_expressed_in_some_samples","qty_genes_with_equal_expression_among_samples","qty_low_counting_genes","SDND","percent_of_DEGs_reduction"
2,30,38293,10128,1677,26488,0,15,300,27.0630222841226
3,30,38293,8280,324,24924,0,47,300,16.3387883008357
4,30,38293,7447,95,16931,0,397,300,6.0149721448468
5,30,38293,6959,39,10480,0,1278,300,2.49825905292479
6,30,38293,6769,9,5419,0,2553,300,1.22736768802228
7,30,38293,6555,4,2456,0,3233,300,0.678969359331476
8,30,38293,6448,0,1046,0,3749,300,0.539693593314763
9,30,38293,6298,0,445,0,3636,300,0.461350974930362
10,30,38293,6193,0,151,0,3592,300,0.374303621169916
15,30,38293,5870,0,4,0,2320,300,0.130571030640669
2,30,38293,8886,1710,27697,0,2,600,36.9254874651811
3,30,38293,7059,386,25900,0,2,600,23.250348189415
4,30,38293,6146,104,17560,0,13,600,9.20090529247911
5,30,38293,5770,24,10595,0,60,600,4.03899721448468
6,30,38293,5549,6,5468,0,148,600,1.61037604456825
7,30,38293,5339,2,2475,0,224,600,0.661559888579387
8,30,38293,5228,1,1045,0,245,600,0.243732590529248
9,30,38293,5060,0,421,0,248,600,0.121866295264624
10,30,38293,4964,0,146,0,197,600,0.0696378830083565
15,30,38293,4751,0,1,0,51,600,0
2,30,38293,8423,1740,28130,0,0,900,41.5651114206128
3,30,38293,6296,394,26632,0,0,900,28.8649025069638
4,30,38293,5521,95,18070,0,3,900,11.6817548746518
5,30,38293,5050,24,10739,0,18,900,5.39693593314763
6,30,38293,4813,12,5366,0,23,900,2.2458217270195
7,30,38293,4636,1,2541,0,36,900,0.835654596100279
8,30,38293,4522,0,1061,0,48,900,0.269846796657382
9,30,38293,4446,0,413,0,51,900,0.130571030640669
10,30,38293,4281,0,173,0,32,900,0.0348189415041783
15,30,38293,4095,0,0,0,6,900,0
2,30,38293,8023,1796,28474,0,0,1200,45.308147632312
3,30,38293,5881,388,27054,0,0,1200,31.9028551532033
4,30,38293,4948,107,18415,0,1,1200,13.7447771587744
5,30,38293,4530,21,10786,0,3,1200,5.98885793871866
6,30,38293,4360,11,5522,0,3,1200,2.35898328690808
7,30,38293,4164,3,2534,0,13,1200,1.0358635097493
8,30,38293,4035,0,1086,0,18,1200,0.356894150417827
9,30,38293,3985,0,431,0,8,1200,0.104456824512535
10,30,38293,3821,0,163,0,9,1200,0.0348189415041783
15,30,38293,3597,0,0,0,1,1200,0
2,30,38293,7089,1780,29424,0,0,2000,52.7158774373259
3,30,38293,4857,429,27842,0,0,2000,38.7621866295265
4,30,38293,4035,114,18759,0,0,2000,16.6434540389972
5,30,38293,3671,35,10926,0,0,2000,7.79944289693593
6,30,38293,3429,3,5530,0,0,2000,3.56023676880223
7,30,38293,3270,2,2584,0,1,2000,1.27959610027855
8,30,38293,3101,0,1158,0,2,2000,0.487465181058496
9,30,38293,3074,0,460,0,1,2000,0.278551532033426
10,30,38293,2909,0,164,0,1,2000,0.060933147632312
15,30,38293,2746,0,1,0,0,2000,0
2,30,38293,6323,1826,30144,0,0,3000,59.4533426183844
3,30,38293,4180,411,28647,0,0,3000,45.5518802228412
4,30,38293,3381,91,19299,0,0,3000,21.3962395543175
5,30,38293,2940,26,11320,0,1,3000,9.6883704735376
6,30,38293,2662,6,5811,0,0,3000,4.46552924791086
7,30,38293,2533,2,2560,0,0,3000,1.49721448467967
8,30,38293,2383,1,1102,0,0,3000,0.670264623955432
9,30,38293,2400,0,435,0,0,3000,0.278551532033426
10,30,38293,2236,0,180,0,1,3000,0.0870473537604457
15,30,38293,2074,0,2,0,0,3000,0
