"qty_biological_replicates","tool","accuracy","precision","recall","specificity","SDND"
4,"DEGRE-BON",20,0.875982555558457,0.718665464382326,0.624363493928711,0.938891427825292
5,"DEGRE-BON",20,0.872169848275142,0.712484624846248,0.605039822431127,0.938956714761376
6,"DEGRE-BON",20,0.875695296790536,0.714772558897614,0.629847238542891,0.937161324019064
7,"DEGRE-BON",20,0.871882589507221,0.699869319006824,0.629324977151064,0.932525951557093
8,"DEGRE-BON",20,0.870785783302431,0.692515267717654,0.636636636636637,0.929326891688973
9,"DEGRE-BON",20,0.874807406053326,0.70020964360587,0.654132393262828,0.929979761049814
10,"DEGRE-BON",20,0.871308071971379,0.68811131009781,0.652173913043478,0.926095188352811
15,"DEGRE-BON",20,0.871125270937247,0.677760375880971,0.678025851938895,0.919403277404191
2,"DEGRE-BH",20,0.867756509022537,0.654188948306595,0.718762240501371,0.90500750799765
3,"DEGRE-BH",20,0.878489541169404,0.670756646216769,0.770857814336075,0.905399229614154
4,"DEGRE-BH",20,0.881127098947588,0.67297628326467,0.789136963050007,0.904126134360514
5,"DEGRE-BH",20,0.881231556681378,0.668947539915282,0.804151978065022,0.900502709407847
6,"DEGRE-BH",20,0.882667850520983,0.667406937394247,0.823997910954433,0.897336293007769
7,"DEGRE-BH",20,0.883007338155799,0.667016917095723,0.828828828828829,0.89655284977476
8,"DEGRE-BH",20,0.882615621654088,0.663531114327062,0.838098968533751,0.893745511523144
9,"DEGRE-BH",20,0.88567101036743,0.667860431801903,0.85220002611307,0.894039302735523
10,"DEGRE-BH",20,0.883999686626799,0.663349243424393,0.852852852852853,0.891786903440622
15,"DEGRE-BH",20,0.884051915493693,0.65787150564002,0.875701788745267,0.886139583469348
2,"DESeq2",10,0.876974904029457,0.697428341816234,0.679853766810289,0.926258405693021
3,"DESeq2",10,0.906144726190165,0.796585437034875,0.712756234495365,0.95449500554939
4,"DESeq2",10,0.913456767555428,0.809252669039146,0.742264003133568,0.95625775282366
5,"DESeq2",10,0.912072702582717,0.796081677704194,0.753362057709884,0.951752954233858
6,"DESeq2",10,0.926305068811532,0.841644300042379,0.777908343125734,0.963406672324868
7,"DESeq2",10,0.935157861750189,0.875181211945491,0.78822300561431,0.971893974015799
8,"DESeq2",10,0.938657195832136,0.879285714285714,0.803629716673195,0.972416269504472
9,"DESeq2",10,0.941320868043768,0.888458225667528,0.808068938503721,0.974636025331331
10,"DESeq2",10,0.943566709320241,0.882442960489705,0.828176002089046,0.972416269504472
15,"DESeq2",10,0.933826025644374,0.814224402207235,0.866953910432171,0.950545145916302
2,"edgeR",10,0.897161361084271,0.998659876708657,0.486486486486487,0.99983678265979
3,"edgeR",10,0.918470738777322,0.983379501385042,0.60255908081995,0.997453809492721
4,"edgeR",10,0.923275794531638,0.967703586288885,0.63768115942029,0.994679114709147
5,"edgeR",10,0.92583500900948,0.969596569869421,0.649562606084345,0.994907618985441
6,"edgeR",10,0.931815214268926,0.956419529837251,0.690560125342734,0.992132924201867
7,"edgeR",10,0.935157861750189,0.955313159746657,0.708969839404622,0.991708559117321
8,"edgeR",10,0.940224061838978,0.954622417880122,0.736127431779606,0.991251550564732
9,"edgeR",10,0.942365445381662,0.961408259986459,0.741611176393785,0.992557289286414
10,"edgeR",10,0.947980048572846,0.961406936980948,0.770857814336075,0.992263498074035
15,"edgeR",10,0.948450108374899,0.91856869385952,0.814466640553597,0.981948162172749
3,"DEGRE-BON",20,0.864283289374037,0.728810408921933,0.511946729338034,0.952373180126657
2,"DEGRE-BON",20,0.85096492831588,0.695356285028022,0.45358401880141,0.950316641640008
4,"DEGRE-BON",20,0.849659206643512,0.699454697986577,0.435435435435435,0.95322191029575
5,"DEGRE-BON",20,0.838482229128039,0.6679580674567,0.382687034860948,0.952438467062741
6,"DEGRE-BON",20,0.834852322878855,0.652432062114638,0.373025199112156,0.950316641640008
7,"DEGRE-BON",20,0.82944663515525,0.62657091561939,0.364538451494973,0.945681269178038
8,"DEGRE-BON",20,0.823858146397514,0.594970906068163,0.373808591199896,0.936377880786055
9,"DEGRE-BON",20,0.819679837045935,0.576970191915067,0.368977673325499,0.932362734216883
10,"DEGRE-BON",20,0.815214268926436,0.557033848561925,0.371719545632589,0.926095188352811
15,"DEGRE-BON",20,0.806021988352963,0.521088186963666,0.372633503068286,0.914376183325717
2,"DEGRE-BH",20,0.848510171571828,0.626051560379919,0.602428515471994,0.910034602076125
3,"DEGRE-BH",20,0.866294100749484,0.668973778783442,0.656221438830135,0.918815694979435
4,"DEGRE-BH",20,0.847413365367038,0.631175960704999,0.570440005222614,0.91666122608866
5,"DEGRE-BH",20,0.82657404747604,0.574699148811271,0.51129390259825,0.905399229614154
6,"DEGRE-BH",20,0.818034627738751,0.5502838014845,0.493667580624102,0.899131683750082
7,"DEGRE-BH",20,0.813177343117541,0.536420020193279,0.48557252905079,0.895083893712868
8,"DEGRE-BH",20,0.805786958451936,0.515451002227171,0.483483483483483,0.886368087745642
9,"DEGRE-BH",20,0.803227743974094,0.508525852585259,0.4828306567437,0.883332245217732
10,"DEGRE-BH",20,0.798657718120805,0.496545183579461,0.478522000261131,0.878696872755762
15,"DEGRE-BH",20,0.789778810748701,0.474474474474474,0.474474474474474,0.86861004113077
2,"DESeq2",10,0.775624787820228,0.454853382367173,0.613657135396266,0.816119344519162
3,"DESeq2",10,0.839474577599039,0.598643006263048,0.599033816425121,0.89958869230267
4,"DESeq2",10,0.859948293421774,0.664469914040115,0.605562083822953,0.923548997845531
5,"DESeq2",10,0.872561564776852,0.710817781823699,0.611698655176916,0.937781549911863
6,"DESeq2",10,0.890267150654167,0.772505123758474,0.639770204987596,0.952895475615329
7,"DESeq2",10,0.912908364453033,0.834054388133498,0.704791748270009,0.964940915322844
8,"DESeq2",10,0.910401378842086,0.815710872162485,0.713147930539235,0.959717960436117
9,"DESeq2",10,0.911367612879639,0.824433287692074,0.707533620577099,0.96232943787948
10,"DESeq2",10,0.907816049930797,0.800640745594874,0.717848283065674,0.955311092250441
15,"DESeq2",10,0.90222756117306,0.764348413234301,0.738999869434652,0.943037148266632
2,"edgeR",10,0.838299428093907,0.998640380693406,0.191800496148322,0.999934713063916
3,"edgeR",10,0.864126602773353,0.984609313338595,0.325760543151847,0.99872690474636
4,"edgeR",10,0.876922675162562,0.959451029320025,0.401619010314662,0.995756349154534
