"ID","log2FC","P.value","Q.value","averagelogCPM"
"MKI67",-2.07301342406845,0.000168841283071793,0.0318339227843839,0.716382416460158
"MKRN2",-0.217013853066854,6.73088961814256e-05,0.016920871205261,6.27561845193356
"MRPS6",-0.957391330875551,0.000139989526156846,0.0279110151806512,5.36724924960478
"MS4A6A",-1.49918122019497,0.000227806265600389,0.039914419021256,4.45868704403383
"MXRA5",0.790641161916932,0.00032562585814655,0.04755490820106,2.05989062378387
"MYH15",0.376532902628614,6.69607909398105e-05,0.016920871205261,4.52452492246033
"NCK2",-0.496775948941253,2.2076748850824e-08,4.78679106957991e-05,4.83927563999157
"NCKIPSD",-0.21646844702639,0.000249100029785083,0.0417098923303676,6.01935293906232
"NCOR1",-0.0897560074391026,1.02888686766727e-05,0.00435294429428206,9.22956415680498
"NIM1K",-0.282211431084523,0.000380558795905473,0.0499928620081489,5.20380277988606
"NRDE2",-0.160832426677689,0.000151531128455432,0.0295332466762688,6.92025479339823
"NUDT4",-0.454624561938811,7.05472286679156e-05,0.0174816032639095,3.86499540869845
"NUP85",-0.30699139650795,0.000251919347021159,0.0417098923303676,5.12581400080659
"PANK2",-0.236468140832576,1.54360990122355e-06,0.00148752540814576,6.6119008480836
"PARP11",-0.263442852318992,4.6405778535924e-05,0.0141220111313007,5.87417123258765
"PCCB",0.207037543598662,7.18260009545986e-05,0.0175478001768798,6.38564882689353
"PDE5A",0.306885438136884,8.37359731891326e-05,0.019897043711489,4.89194109207717
"PHKB",0.125531622416701,3.34761779029245e-06,0.00232271112761651,8.04766775442142
"PIPOX",0.505136207125203,2.4253393309452e-06,0.00187850500498561,4.0634058358119
"PLAGL2",-0.283655146036084,0.000305497416308736,0.0464838437130819,5.11437797354711
"PLEKHA8",-0.286202227048342,6.0920909385797e-07,0.000754810067290025,6.10397835662879
"PPP2R2D",-0.254801710927185,1.06524686926332e-06,0.00111717609213102,6.35861677068377
